transcriptId,jobId,L3 Intents,L1 Cluster,L2 Clusters,transcript_complexity,Complexity (score out of 10),Complexity Bucket,Complexity_level_bucket,AHT (mins),Aht_bucket,Proposed_for_Automation,Proposed_of_automation,Proposed_,resolution,resolutionDescription,transcriptId.1,clusteringOutput,addedOn,L1 Clusters
695812dbc0cbb5cf7ac67615,CXJ-927,depositRefund,refundRequest,refundProcessing,5.8,1.0,Low,1. Low Complexity,14,3. High AHT,Yes,1,Volume - Potential Transformation Opportunity,refundProcessed,The agent processed a $100 refund to the customer's Mastercard.,ADT-00055,"[{'closest_other_cluster_name': 'refundEligibility', 'cluster': 20, 'embedding_input': 'refundRequest:Refund request refers to the action of asking for the return of a previously paid amount.', 'prob_cluster_belonging': 1.0, 'closest_other_cluster': 21, 'distance_to_other_cluster': 0.422, 'umap_embedding': 'ComingSoon'}]",1767379675,"Billing, Refunds & Credits"
695812dbc0cbb5cf7ac67616,CXJ-927,depositRefund,refundRequest,refundProcessing,5.8,1.0,Low,1. Low Complexity,14,3. High AHT,Yes,1,Volume - Potential Transformation Opportunity,refundProcessed,The agent processed the refund to the customer's credit card.,ADT-00153,"[{'closest_other_cluster_name': 'refundEligibility', 'cluster': 20, 'embedding_input': 'refundRequest:Refund request refers to the action of asking for the return of a previously paid amount.', 'prob_cluster_belonging': 1.0, 'closest_other_cluster': 21, 'distance_to_other_cluster': 0.422, 'umap_embedding': 'ComingSoon'}]",1767379675,"Billing, Refunds & Credits"
695812dbc0cbb5cf7ac67617,CXJ-927,depositRefund,refundRequest,refundProcessing,,1.0,Low,1. Low Complexity,7,2. Medium AHT,Yes,1,Volume - Potential Transformation Opportunity,refundProcessed,The agent confirmed that the refund check request has been processed and will be mailed.,ADT-00061,"[{'closest_other_cluster_name': 'refundEligibility', 'cluster': 20, 'embedding_input': 'refundRequest:Refund request refers to the action of asking for the return of a previously paid amount, typically after fulfilling certain conditions.', 'prob_cluster_belonging': 1.0, 'closest_other_cluster': 21, 'distance_to_other_cluster': 0.422, 'umap_embedding': 'ComingSoon'}]",1767379675,"Billing, Refunds & Credits"
695812dbc0cbb5cf7ac67618,CXJ-927,cameraReboot,sensorReset,hardwareMalfunction,8.9,9.09,High,3. High Complexity,12,2. Medium AHT,No,0,Volume - Rest,firmwareUpdate,Agent pushed a firmware update to the camera to prevent future sensor issues.,ADT-00056,"[{'closest_other_cluster_name': 'alarmManagement', 'cluster': 18, 'embedding_input': 'sensorReset:Sensor reset refers to the process of reinitializing a sensor to restore its proper functionality.', 'prob_cluster_belonging': 0.7681915749862388, 'closest_other_cluster': 10, 'distance_to_other_cluster': 0.5577, 'umap_embedding': 'ComingSoon'}]",1767379675,Hardware & Sensor Issues
695812dbc0cbb5cf7ac67619,CXJ-927,cameraFailure,hardwareError,hardwareMalfunction,9.3,9.09,High,3. High Complexity,14,3. High AHT,No,0,Volume - Rest,technicianDispatchOffer,Agent offered to send a technician to replace the camera for a service fee.,ADT-00003,"[{'closest_other_cluster_name': 'alarmManagement', 'cluster': 18, 'embedding_input': 'hardwareError:Hardware error refers to a malfunction or failure within the physical components of a device, often requiring repair or replacement.', 'prob_cluster_belonging': 1.0, 'closest_other_cluster': 10, 'distance_to_other_cluster': 0.5577, 'umap_embedding': 'ComingSoon'}]",1767379675,Hardware & Sensor Issues
695812dbc0cbb5cf7ac6761a,CXJ-927,sensorReplacement,sensorFailure,hardwareMalfunction,9.2,9.09,High,3. High Complexity,17,3. High AHT,No,0,Volume - Rest,technicianScheduled,A senior technician will visit on Wednesday morning to replace the sensor and check other windows.,ADT-00016,"[{'closest_other_cluster_name': 'alarmManagement', 'cluster': 18, 'embedding_input': 'sensorFailure:Sensor failure refers to the malfunctioning of a sensor, causing it to give incorrect readings or not function as intended.', 'prob_cluster_belonging': 0.8114194820597782, 'closest_other_cluster': 10, 'distance_to_other_cluster': 0.5577, 'umap_embedding': 'ComingSoon'}]",1767379675,Hardware & Sensor Issues
695812dcc0cbb5cf7ac6769d,CXJ-927,pricingInquiry,seniorDiscount,insuranceDiscount,6.0,1.76,Low,1. Low Complexity,11,2. Medium AHT,Yes,1,Volume - Potential Transformation Opportunity,pricingConfirmed,Agent confirmed the pricing details for the customer including discounts and additional features.,ADT-00028,"[{'closest_other_cluster_name': 'insuranceDiscount', 'cluster': 27, 'embedding_input': 'seniorDiscount:Senior discount refers to a reduced price offered to elderly customers, typically those over a certain age or members of specific organizations.', 'prob_cluster_belonging': 1.0, 'closest_other_cluster': 28, 'distance_to_other_cluster': 0.3383, 'umap_embedding': 'ComingSoon'}]",1767379676,Pricing & Discounts
695812dcc0cbb5cf7ac6769e,CXJ-927,devicePurchase,discountOffer,discountEligibility,6.2,1.76,Low,1. Low Complexity,3,1. Low AHT,Yes,1,Volume - Potential Transformation Opportunity,technicianScheduled,A technician is scheduled to install the Smart Garage Controller on Saturday morning.,ADT-00122,"[{'closest_other_cluster_name': 'insuranceDiscount', 'cluster': 27, 'embedding_input': 'discountOffer:A discount offer refers to a reduction in the price of a product or service, typically provided as an incentive or reward.', 'prob_cluster_belonging': 1.0, 'closest_other_cluster': 28, 'distance_to_other_cluster': 0.3383, 'umap_embedding': 'ComingSoon'}]",1767379676,Pricing & Discounts
695812dcc0cbb5cf7ac6769f,CXJ-927,pricingInquiry,insuranceDiscount,insuranceDiscount,6.1,1.63,Low,1. Low Complexity,3,1. Low AHT,Yes,1,Volume - Potential Transformation Opportunity,appointmentScheduled,The agent scheduled an appointment for the customer to set up the security system.,ADT-00030,"[{'closest_other_cluster_name': 'discountEligibility', 'cluster': 28, 'embedding_input': 'insuranceDiscount:Insurance discount refers to the reduction in premium costs offered by insurance companies when customers have professional monitoring systems installed.', 'prob_cluster_belonging': 1.0, 'closest_other_cluster': 27, 'distance_to_other_cluster': 0.3383, 'umap_embedding': 'ComingSoon'}]",1767379676,Pricing & Discounts
695812dcc0cbb5cf7ac676a0,CXJ-927,serviceRemoval,insuranceDiscount,insuranceDiscount,,1.63,Low,1. Low Complexity,7,2. Medium AHT,Yes,1,Volume - Potential Transformation Opportunity,serviceRemoved,The agent removed the private guard response service from the customer's account.,ADT-00090,"[{'closest_other_cluster_name': 'discountEligibility', 'cluster': 28, 'embedding_input': 'insuranceDiscount:Insurance discount refers to the reduction in insurance premiums due to certain qualifying services or features.', 'prob_cluster_belonging': 1.0, 'closest_other_cluster': 27, 'distance_to_other_cluster': 0.3383, 'umap_embedding': 'ComingSoon'}]",1767379676,Pricing & Discounts
