transcriptId,Filename,L3 Intents,L3 Intents Description,L2 Clusters,L1 Clusters,Complexity (score out of 10),Complexity Bucket,AHT (mins),Complexity_level_bucket,Aht_bucket,Proposed_of_automation,Proposed_for_Automation,Resolution,Resolution Description,Agent Sentiment,Customer Sentiment,Hold_time
baad63e2-0335-4124-b1a3-7a049cc86f60,baad63e2-0335-4124-b1a3-7a049cc86f60_analysis_2025-06-27T11_41_43Z.json,incorrectReading,"Incorrect reading refers to an error in the recorded meter reading, leading to inaccurate billing.",IncorrectReading,Meter Faults & Issues,3.0,Low,13.58995,1. Low Complexity,2. Medium AHT,1,Yes,billRevised,The agent revised the bill according to the actual meter reading provided by the customer.,0.4,0.2,4.0
64acc7eb-edfc-4cf8-b3f7-49c3d76361d7,64acc7eb-edfc-4cf8-b3f7-49c3d76361d7_analysis_2025-05-08T10_06_42Z.json,estimatedReading,Estimated reading refers to the practice of calculating a utility bill based on an estimated usage rather than an actual meter reading.,IncorrectReading,Meter Faults & Issues,3.0,Low,7.64645,1. Low Complexity,2. Medium AHT,1,Yes,billRevised,The agent confirmed that a new revised bill will be sent to the customer via email.,0.8,-0.4,1.5
5d394868-8b14-4cbc-a76f-e48e65e7f82c,5d394868-8b14-4cbc-a76f-e48e65e7f82c_analysis_2025-07-25T13_28_04Z.json,estimatedReading,"Estimated reading refers to the practice of calculating energy consumption based on estimates rather than actual meter readings, often leading to discrepancies in billing.",IncorrectReading,Meter Faults & Issues,3.0,Low,23.1886166666666,1. Low Complexity,3. High AHT,1,Yes,emailSent,Agent will send an email with a detailed breakdown of the catch-up bill.,0.4,-0.3,5.5
75df1895-6ddf-4314-8ed2-f65f148d0ace,75df1895-6ddf-4314-8ed2-f65f148d0ace_analysis_2025-08-19T11_38_18Z.json,estimatedReading,Estimated reading refers to the practice of calculating a bill based on an estimated meter reading rather than an actual reading provided by the customer.,IncorrectReading,Meter Faults & Issues,3.0,Low,6.53345,1. Low Complexity,1. Low AHT,1,Yes,meterReadingUpdated,Agent advised customer to submit meter readings on the 14th for accurate billing.,0.9,-0.3,1.5
33358389-e60c-4e50-bedd-52038f34bf01,33358389-e60c-4e50-bedd-52038f34bf01_analysis_2025-08-08T15_04_10Z.json,finalBillPayment,Final bill payment refers to the settlement of the last outstanding amount before closing an account.,finalBillPayment,Payment Processing,1.5,Low,5.87961666666666,1. Low Complexity,1. Low AHT,1,Yes,finalBillIssued,The final bill will be issued and sent via email for payment before account closure.,1.4,0.8,1.5
d7dec749-8df9-4e7d-a18b-381307ea2769,d7dec749-8df9-4e7d-a18b-381307ea2769_analysis_2025-09-24T10_25_45Z.json,finalBillPayment,Final bill payment refers to the settlement of the outstanding balance on an account before its closure.,finalBillPayment,Payment Processing,1.5,Low,5.92795,1. Low Complexity,1. Low AHT,1,Yes,paymentProcessed,The agent confirmed the payment was successful and the account will be closed.,1.7,2.4,1.5
5a8947a6-63d7-41a2-8eb5-e4a12ac01fe7,5a8947a6-63d7-41a2-8eb5-e4a12ac01fe7_analysis_2025-06-27T12_45_04Z.json,finalBillPayment,Final bill payment refers to the settlement of the last outstanding amount on an account before it is closed.,finalBillPayment,Payment Processing,1.5,Low,7.31128333333333,1. Low Complexity,2. Medium AHT,1,Yes,paymentProcessed,The agent processed the payment and confirmed the receipt via email.,1.4,0.8,1.5
dc4976bb-e728-4218-9aa5-67745edc8088,dc4976bb-e728-4218-9aa5-67745edc8088_analysis_2025-07-09T12_43_07Z.json,meterFault,Meter fault refers to a malfunction or failure in the gas meter that prevents the proper flow of gas into the property.,meterFault,Meter Faults & Issues,3.3,Medium,10.46995,2. Medium Complexity,2. Medium AHT,1,Yes,emergencyTeamContacted,The agent contacted the emergency team to address the gas supply issue within 30 minutes.,2.0,-3.1,3.0
2640ba94-ab69-401d-af0f-f392488e897b,2640ba94-ab69-401d-af0f-f392488e897b_analysis_2025-08-08T13_34_45Z.json,meterFault,Meter fault refers to a malfunction or issue with the gas or electricity meter that requires repair or replacement.,meterFault,Meter Faults & Issues,3.3,Medium,24.7367833333333,2. Medium Complexity,3. High AHT,0,No,appointmentScheduled,An engineer appointment was scheduled to fix the gas meter issue.,0.4,0.3,5.5
14f6e975-8f07-4c86-9ec8-8f96dec8efee,14f6e975-8f07-4c86-9ec8-8f96dec8efee_analysis_2025-06-09T11_18_35Z.json,meterFault,Meter fault refers to a malfunction in the meter that prevents accurate measurement of energy usage.,meterFault,Meter Faults & Issues,3.3,Medium,7.06211666666666,2. Medium Complexity,2. Medium AHT,1,Yes,billingTeamReview,Agent will raise the issue to the billing team for a detailed review and explanation.,1.5,-0.5,1.5
0c92d76b-16e6-40b5-bb8b-54e2dffeac69,0c92d76b-16e6-40b5-bb8b-54e2dffeac69_analysis_2025-07-24T10_41_34Z.json,meterFault,Meter fault refers to a malfunction or failure in the meter that prevents it from accurately recording or displaying usage data.,meterFault,Meter Faults & Issues,3.3,Medium,19.5312833333333,2. Medium Complexity,3. High AHT,0,No,paymentScheduleSetup,Agent set up a payment schedule for the customer to restart direct debit payments.,1.0,-2.2,4.5
12581c7f-fd09-4fe2-b34c-48b48d2180c6,12581c7f-fd09-4fe2-b34c-48b48d2180c6_analysis_2025-06-27T08_03_45Z.json,emailUpdate,Email update refers to the process of changing the registered email address associated with a customer's account.,emailUpdate,Email & Communication Issues,2.4,Low,4.35728333333333,1. Low Complexity,1. Low AHT,1,Yes,emailUpdated,The agent updated the customer's email address and confirmed the reading submission.,1.2,0.8,1.5
20da366d-2c43-4b94-8a6d-d61d7b847bfd,20da366d-2c43-4b94-8a6d-d61d7b847bfd_analysis_2025-09-24T14_30_38Z.json,emailUpdate,Email update refers to the process of changing or updating the email address associated with an account to ensure accurate communication.,emailUpdate,Email & Communication Issues,2.4,Low,6.95228333333333,1. Low Complexity,1. Low AHT,1,Yes,emailSent,Agent sent an email to the solar team for more information regarding the export tariff.,1.9,0.5,1.5
85baf623-fddd-409e-b2cb-16eb5949fc29,85baf623-fddd-409e-b2cb-16eb5949fc29_analysis_2025-06-09T09_33_10Z.json,emailUpdate,Email update refers to the process of changing or updating the email address associated with an account.,emailUpdate,Email & Communication Issues,2.4,Low,5.66545,1. Low Complexity,1. Low AHT,1,Yes,activationEmailSent,The agent sent the account activation email to the updated email address.,0.2,0.3,1.5
1b2f5ee5-9ca7-4cae-a9ad-429425c4323d,1b2f5ee5-9ca7-4cae-a9ad-429425c4323d_analysis_2025-09-24T15_17_54Z.json,priceIncrease,Price increase refers to the rise in the cost of a product or service compared to its previous rate.,priceIncrease,High Bill Concerns,2.7,Low,6.18128333333333,1. Low Complexity,1. Low AHT,1,Yes,supplierContact,Customer advised to contact previous or new supplier to initiate switch registration.,3.0,0.0,1.5
4093e2c9-e11a-44e3-a5a1-e9deb51c6db8,4093e2c9-e11a-44e3-a5a1-e9deb51c6db8_analysis_2025-10-08T12_18_09Z.json,priceIncrease,"Price increase refers to the rise in the cost of a service or product, often due to market conditions or company policy.",priceIncrease,High Bill Concerns,2.7,Low,8.10945,1. Low Complexity,2. Medium AHT,1,Yes,directDebitCancelled,The agent advised the customer to cancel the direct debit and pay bills as they come.,1.3,-0.4,3.0
