transcriptId,jobId,L2 Clusters,L3 Intents,L1 Cluster,transcript_complexity,Complexity (score out of 10),resolution,resolutionDescription,transcriptId.1,clusteringOutput,addedOn,Complexity Bucket,Complexity_level_bucket,AHT (mins),Aht_bucket,Proposed_for_Automation,Proposed_of_automation,Proposed_,AHT_Level,Complexity_Level,AHT_Complexity_Segment,AHT_Intent_Alignment
696df4fd459d6714849b6fa6,CXJ-960,internetConnectionIssue,modemMalfunction,deviceConfiguration,-1.0,-1.0,technicianScheduled,A technician was scheduled to visit the customer's location to resolve the issue.,75,"[{'closest_other_cluster_name': 'None', 'cluster': -1, 'embedding_input': 'modemMalfunction:Modem malfunction refers to the improper functioning of a modem, causing connectivity issues.', 'prob_cluster_belonging': 0.0, 'closest_other_cluster': None, 'distance_to_other_cluster': None, 'umap_embedding': 'ComingSoon'}]",1768813821,Low,1. Low Complexity,14,3. High AHT,Yes,1,Volume - Potential Transformation Opportunity,Low AHT,-1.0,Low AHT | -1.0,Review
696df4fd459d6714849b6fef,CXJ-960,claimSetup,accidentDamage,physicalDamage,,5.7,assignAdjuster,An adjuster will reach out within 24-48 hours to discuss the next steps.,50,"[{'closest_other_cluster_name': 'liquidDamage', 'cluster': 4, 'embedding_input': 'accidentDamage:Accident damage refers to physical harm or destruction caused to a vehicle as a result of a collision or crash.', 'prob_cluster_belonging': 1.0, 'closest_other_cluster': 3, 'distance_to_other_cluster': 0.3794, 'umap_embedding': 'ComingSoon'}]",1768813821,Low,1. Low Complexity,14,3. High AHT,Yes,1,Volume - Potential Transformation Opportunity,Low AHT,Nan,Low AHT | Nan,Review
696df4fd459d6714849b6fa0,CXJ-960,audioIssue,driverReinstallation,driverUpdate,,5.8,audioRestored,"The agent guided the customer to reinstall the audio driver, which resolved the audio issue.",1,"[{'closest_other_cluster_name': 'softwareUpdate', 'cluster': 5, 'embedding_input': 'driverReinstallation:Driver reinstallation refers to the process of uninstalling and then reinstalling a device driver to resolve hardware or software issues.', 'prob_cluster_belonging': 1.0, 'closest_other_cluster': 6, 'distance_to_other_cluster': 0.3325, 'umap_embedding': 'ComingSoon'}]",1768813821,Low,1. Low Complexity,7,2. Medium AHT,Yes,1,Volume - Potential Transformation Opportunity,Low AHT,Nan,Low AHT | Nan,Review
696df4fd459d6714849b6fa1,CXJ-960,touchpadIssue,driverReinstallation,driverUpdate,5.8,5.8,driverReinstalled,"The agent guided the customer to uninstall and reinstall the touchpad driver, resolving the issue.",23,"[{'closest_other_cluster_name': 'softwareUpdate', 'cluster': 5, 'embedding_input': 'driverReinstallation:Driver reinstallation refers to the process of uninstalling and then reinstalling a device driver to resolve hardware or software issues.', 'prob_cluster_belonging': 1.0, 'closest_other_cluster': 6, 'distance_to_other_cluster': 0.3325, 'umap_embedding': 'ComingSoon'}]",1768813821,Low,1. Low Complexity,12,2. Medium AHT,Yes,1,Volume - Potential Transformation Opportunity,Low AHT,5.8,Low AHT | 5.8,Review
696df4fd459d6714849b6fa2,CXJ-960,accountRetention,appGlitches,deviceConfiguration,-1.0,-1.0,customizedPackageOffer,The agent offered a customized package with a discount and extra features to retain the customer.,2,"[{'closest_other_cluster_name': 'None', 'cluster': -1, 'embedding_input': 'appGlitches:App glitches refer to issues where the application freezes, crashes, or fails to open, causing user frustration.', 'prob_cluster_belonging': 0.0, 'closest_other_cluster': None, 'distance_to_other_cluster': None, 'umap_embedding': 'ComingSoon'}]",1768813821,Low,1. Low Complexity,14,3. High AHT,Yes,1,Volume - Potential Transformation Opportunity,Low AHT,-1.0,Low AHT | -1.0,Review
696df4fd459d6714849b6fa3,CXJ-960,batteryReplacement,batteryIssue,deviceConfiguration,-1.0,-1.0,processReplacement,The agent processed a replacement request for the customer's laptop battery.,8,"[{'closest_other_cluster_name': 'None', 'cluster': -1, 'embedding_input': ""batteryIssue:Battery issue refers to problems related to the battery's performance, such as not holding a charge."", 'prob_cluster_belonging': 0.0, 'closest_other_cluster': None, 'distance_to_other_cluster': None, 'umap_embedding': 'ComingSoon'}]",1768813821,Low,1. Low Complexity,17,3. High AHT,Yes,1,Volume - Potential Transformation Opportunity,Low AHT,-1.0,Low AHT | -1.0,Review
696df4fd459d6714849b6fa4,CXJ-960,routerSetup,setupAssistance,deviceConfiguration,-1.0,-1.0,setupCompleted,"The agent guided the customer through the setup process, and the setup was successfully completed.",20,"[{'closest_other_cluster_name': 'None', 'cluster': -1, 'embedding_input': 'setupAssistance:Setup assistance refers to the guidance provided to help a customer configure and set up a device or service.', 'prob_cluster_belonging': 0.0, 'closest_other_cluster': None, 'distance_to_other_cluster': None, 'umap_embedding': 'ComingSoon'}]",1768813821,Low,1. Low Complexity,11,2. Medium AHT,Yes,1,Volume - Potential Transformation Opportunity,Low AHT,-1.0,Low AHT | -1.0,Review
696df4fd459d6714849b6fa5,CXJ-960,audioRestoration,wrongDeviceSetting,deviceConfiguration,-1.0,-1.0,deviceSettingCorrected,The agent corrected the audio output device setting to resolve the sound issue.,32,"[{'closest_other_cluster_name': 'None', 'cluster': -1, 'embedding_input': 'wrongDeviceSetting:Wrong device setting refers to the incorrect configuration of the audio output device, causing sound issues.', 'prob_cluster_belonging': 0.0, 'closest_other_cluster': None, 'distance_to_other_cluster': None, 'umap_embedding': 'ComingSoon'}]",1768813821,Low,1. Low Complexity,3,1. Low AHT,No,0,Volume - Rest,Low AHT,-1.0,Low AHT | -1.0,Review
696df4fd459d6714849b6fa7,CXJ-960,audioIssue,speakerMalfunction,audioFailure,,6.0,escalateSupport,The issue was escalated to the advanced technical support team for further assistance.,3,"[{'closest_other_cluster_name': 'audioOutputFailure', 'cluster': 14, 'embedding_input': 'speakerMalfunction:Speaker malfunction refers to a situation where the built-in speakers of a device fail to produce sound.', 'prob_cluster_belonging': 1.0, 'closest_other_cluster': 15, 'distance_to_other_cluster': 0.3491, 'umap_embedding': 'ComingSoon'}]",1768813821,Low,1. Low Complexity,3,1. Low AHT,No,0,Volume - Rest,Low AHT,Nan,Low AHT | Nan,Review
696df4fd459d6714849b6fa8,CXJ-960,audioRestored,speakerMalfunction,audioFailure,6.0,6.0,issueEscalation,The issue was escalated to the advanced technical support team for further assistance.,9,"[{'closest_other_cluster_name': 'audioOutputFailure', 'cluster': 14, 'embedding_input': 'speakerMalfunction:Speaker malfunction refers to a situation where the audio output device, such as external speakers, fails to produce sound.', 'prob_cluster_belonging': 1.0, 'closest_other_cluster': 15, 'distance_to_other_cluster': 0.3491, 'umap_embedding': 'ComingSoon'}]",1768813821,Low,1. Low Complexity,7,2. Medium AHT,Yes,1,Volume - Potential Transformation Opportunity,Low AHT,6.0,Low AHT | 6.0,Review
696df4fd459d6714849b6fa9,CXJ-960,servicePerformance,serverIssue,serverFailure,7.5,7.66,issueResolved,"The agent resolved the temporary server issue, restoring normal service performance.",4,"[{'closest_other_cluster_name': 'hardwareFailure', 'cluster': 10, 'embedding_input': 'serverIssue:Server issue refers to problems or disruptions in the server that affect the performance and availability of a service.', 'prob_cluster_belonging': 0.0, 'closest_other_cluster': 12, 'distance_to_other_cluster': 0.556, 'umap_embedding': 'ComingSoon'}]",1768813821,Medium,2. Medium Complexity,17,3. High AHT,Yes,1,Volume - Potential Transformation Opportunity,Low AHT,7.5,Low AHT | 7.5,Review
696df4fd459d6714849b6faa,CXJ-960,accountIssue,serverIssue,serverFailure,8.100000000000001,7.66,applyDiscount,The agent offered and applied a 20% discount on the customer's next month's subscription.,10,"[{'closest_other_cluster_name': 'hardwareFailure', 'cluster': 10, 'embedding_input': 'serverIssue:A server issue refers to a problem with the server that affects the performance or availability of a service.', 'prob_cluster_belonging': 0.0, 'closest_other_cluster': 12, 'distance_to_other_cluster': 0.556, 'umap_embedding': 'ComingSoon'}]",1768813821,Medium,2. Medium Complexity,13,3. High AHT,Yes,1,Volume - Potential Transformation Opportunity,Low AHT,8.100000000000001,Low AHT | 8.100000000000001,Review
696df4fd459d6714849b6fab,CXJ-960,audioRestoration,serverIssue,serverFailure,7.6,7.66,issueEscalation,The agent escalated the issue to the technical team for further investigation and resolution.,12,"[{'closest_other_cluster_name': 'hardwareFailure', 'cluster': 10, 'embedding_input': 'serverIssue:A server issue refers to a problem or malfunction occurring on the server side, affecting the performance or functionality of services dependent on that server.', 'prob_cluster_belonging': 0.0, 'closest_other_cluster': 12, 'distance_to_other_cluster': 0.556, 'umap_embedding': 'ComingSoon'}]",1768813821,Medium,2. Medium Complexity,11,2. Medium AHT,No,0,Volume - Rest,Low AHT,7.6,Low AHT | 7.6,Review
696df4fd459d6714849b6fac,CXJ-960,audioQuality,serverIssue,serverFailure,,7.66,issueEscalation,The agent escalated the issue to the technical team for resolution.,48,"[{'closest_other_cluster_name': 'hardwareFailure', 'cluster': 10, 'embedding_input': 'serverIssue:A server issue refers to a problem or malfunction occurring on the server side, affecting the performance or functionality of a service.', 'prob_cluster_belonging': 1.0, 'closest_other_cluster': 12, 'distance_to_other_cluster': 0.556, 'umap_embedding': 'ComingSoon'}]",1768813821,Medium,2. Medium Complexity,3,1. Low AHT,No,0,Volume - Rest,Low AHT,Nan,Low AHT | Nan,Review
